"Feature.ID","Old.Taxon","Domain","Phylum","Subphylum","Order","Family","Genus","Species","Confidence","Taxon"
"c5bb67fa51b6cbd84673c103be4f2bb1","D_0__Bacteria;D_1__Actinobacteria;D_2__Acidimicrobiia;D_3__Microtrichales;D_4__uncultured;D_5__uncultured bacterium;D_6__uncultured bacterium","Bacteria","Actinobacteria","Acidimicrobiia","Microtrichales","uncultured","uncultured bacterium",NA,0.708079223897453,"Bacteria_Actinobacteria_Microtrichales_uncultured_uncultured bacterium_7"
"8fc0fcbbc69d968666c2871418ba6dde","D_0__Bacteria;D_1__Firmicutes;D_2__Clostridia;D_3__Clostridiales;D_4__Ruminococcaceae;D_5__Ruminococcaceae UCG-014","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Ruminococcaceae UCG-014",NA,0.999999832466808,"Bacteria_Firmicutes_Clostridiales_Ruminococcaceae_Ruminococcaceae UCG-014_24"
"03d46003a81588670d604f62dacef6e7","D_0__Bacteria;D_1__Firmicutes;D_2__Clostridia;D_3__Clostridiales;D_4__Ruminococcaceae;D_5__Candidatus Soleaferrea","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Candidatus Soleaferrea",NA,0.997535952817707,"Bacteria_Firmicutes_Clostridiales_Ruminococcaceae_Candidatus Soleaferrea_30"
"b7f7235614432909d9853b4441b0672c","D_0__Bacteria;D_1__Firmicutes;D_2__Clostridia;D_3__Clostridiales;D_4__Ruminococcaceae","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae",NA,NA,0.999984097723749,"Bacteria_Firmicutes_Clostridiales_Ruminococcaceae_102"
"49fbaa83cb25e176ddc0c0db152c920e","D_0__Bacteria;D_1__Planctomycetes;D_2__Planctomycetacia;D_3__Pirellulales;D_4__Pirellulaceae;D_5__uncultured","Bacteria","Planctomycetes","Planctomycetacia","Pirellulales","Pirellulaceae","uncultured",NA,0.99826887594406,"Bacteria_Planctomycetes_Pirellulales_Pirellulaceae_uncultured_9"
"3de445bbbe7090fde6f899afeed37af9","D_0__Bacteria;D_1__Firmicutes","Bacteria","Firmicutes",NA,NA,NA,NA,NA,0.999323889313625,"Bacteria_Firmicutes_6"
"365858f4e164a2b8bf8a9e96c245c0b8","D_0__Bacteria;D_1__Planctomycetes;D_2__Planctomycetacia;D_3__Gemmatales;D_4__Gemmataceae;D_5__uncultured;D_6__uncultured bacterium","Bacteria","Planctomycetes","Planctomycetacia","Gemmatales","Gemmataceae","uncultured","uncultured bacterium",0.845485183447318,"Bacteria_Planctomycetes_Gemmatales_Gemmataceae_uncultured_uncultured bacterium_31"
"b4611680ab801ebccc6de2e55b30ea56","D_0__Bacteria;D_1__Firmicutes;D_2__Clostridia;D_3__Clostridiales;D_4__Ruminococcaceae;D_5__Ruminococcaceae UCG-010;D_6__uncultured bacterium","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Ruminococcaceae UCG-010","uncultured bacterium",0.86930623643341,"Bacteria_Firmicutes_Clostridiales_Ruminococcaceae_Ruminococcaceae UCG-010_uncultured bacterium_10"
"ba1fefc4d08b3869480d6d4011ddbd73","D_0__Bacteria;D_1__Chloroflexi;D_2__Anaerolineae;D_3__RBG-13-54-9;D_4__uncultured bacterium;D_5__uncultured bacterium;D_6__uncultured bacterium","Bacteria","Chloroflexi","Anaerolineae","RBG-13-54-9","uncultured bacterium",NA,NA,0.846588115854658,"Bacteria_Chloroflexi_RBG-13-54-9_uncultured bacterium_2"
"d57819d044d75db5775d9625eeff6315","D_0__Bacteria;D_1__Cyanobacteria;D_2__Melainabacteria;D_3__Gastranaerophilales;D_4__uncultured bacterium;D_5__uncultured bacterium;D_6__uncultured bacterium","Bacteria","Cyanobacteria","Melainabacteria","Gastranaerophilales","uncultured bacterium",NA,NA,0.993149386098897,"Bacteria_Cyanobacteria_Gastranaerophilales_uncultured bacterium_8"
