"","Amid12","Amid39","Amid40","Amid41","Amid46","Amid49","Amid7","Ileum12","Ileum17","Ileum18","Ileum19","Ileum20","Ileum21","Ileum2","Ileum3","Ileum5","Ileum7","Ileum9","Lmid2","Lmid3","Lmid5","Lmid9","Paunch12","Paunch17","Paunch18","Paunch19","Paunch20","Paunch21","Paunch2","Paunch3","Paunch5","Paunch9","hind12","hind39","hind40","hind41","hind46","hind48","hind49","hind4","hind7"
"Ileum2",1,1,1,1,1,1,1,0.946322067594433,0.950310559006211,0.981651376146789,0.978208232445521,0.932238193018481,0.939597315436242,0,0.753799392097264,0.752427184466019,0.798107255520505,0.772463768115942,0.692926045016077,0.761127596439169,0.812734082397004,0.804034582132565,0.997037037037037,1,0.998611111111111,1,0.998556998556999,0.998299319727891,0.926426426426426,0.956845238095238,0.924558587479936,0.994261119081779,1,1,1,1,1,1,1,1,1
"Ileum3",0.997971602434077,1,0.997885835095137,1,0.997863247863248,0.997920997920998,0.997907949790795,0.947916666666667,0.94954954954955,0.984375,0.983673469387755,0.931899641577061,0.956356736242884,0.753799392097264,0,0.754411764705882,0.737951807228916,0.766042780748663,0.766990291262136,0.694842406876791,0.824503311258278,0.76734693877551,0.997336884154461,0.995884773662551,0.994955863808323,0.998585572842999,0.994778067885117,0.996983408748115,0.931081081081081,0.94429347826087,0.921965317919075,0.992217898832685,0.998039215686275,1,0.998171846435101,1,1,0.998109640831758,0.998134328358209,1,0.997983870967742
"Ileum5",1,1,1,1,1,1,1,0.932950191570881,0.932,0.980519480519481,0.977220956719818,0.93579766536965,0.971252566735113,0.752427184466019,0.754411764705882,0,0.793577981651376,0.809264305177112,0.779069767441861,0.780763790664781,0.74573055028463,0.806406685236769,0.994285714285714,0.995588235294118,0.995973154362416,0.993893129770992,0.993016759776536,0.996742671009772,0.932374100719425,0.952517985611511,0.904088050314465,0.988888888888889,1,1,0.997991967871486,1,0.997933884297521,0.997916666666667,1,0.997858672376874,0.997762863534676
"Ileum7",0.997701149425287,1,0.997590361445783,1,0.995110024449878,0.997635933806147,0.995226730310263,0.933852140077821,0.941532258064516,0.984615384615385,0.983833718244804,0.930417495029821,0.962025316455696,0.798107255520505,0.737951807228916,0.793577981651376,0,0.726067746686303,0.757847533632287,0.765557163531114,0.846017699115044,0.800565770862801,0.997113997113997,0.995529061102832,0.997286295793758,0.996913580246914,0.994350282485876,0.998349834983498,0.93768115942029,0.957971014492754,0.943164362519201,0.991584852734923,0.995565410199557,0.995402298850575,0.995901639344262,0.995850622406639,0.9957805907173,0.995744680851064,0.9958071278826,0.99562363238512,0.995423340961098
"Ileum9",0.998076923076923,1,1,1,1,1,0.998019801980198,0.939698492462312,0.948275862068966,0.983271375464684,0.980582524271845,0.935042735042735,0.937384898710866,0.772463768115942,0.766042780748663,0.809264305177112,0.726067746686303,0,0.741758241758242,0.737550471063257,0.860896445131376,0.720164609053498,0.993548387096774,0.994701986754967,0.997566909975669,0.995901639344262,0.994955863808323,0.995645863570392,0.920844327176781,0.951760104302477,0.936726272352132,0.987405541561713,0.998137802607076,0.998080614203455,0.998257839721254,1,0.998214285714286,0.998201438848921,0.998223801065719,0.998158379373849,1
"Lmid2",1,1,1,1,1,1,1,0.939823008849557,0.954627949183303,0.986166007905138,0.989711934156379,0.938738738738739,0.951737451737452,0.692926045016077,0.766990291262136,0.779069767441861,0.757847533632287,0.741758241758242,0,0.724964739069111,0.818487394957983,0.75828729281768,0.998657718120805,0.997233748271093,1,0.998571428571429,0.998687664041995,1,0.92896174863388,0.959459459459459,0.932080924855491,0.993464052287582,1,1,1,1,1,1,1,1,1
"Lmid3",1,1,1,1,1,1,1,0.951013513513513,0.943462897526502,0.986742424242424,0.988165680473373,0.935540069686411,0.959484346224678,0.761127596439169,0.694842406876791,0.780763790664781,0.765557163531114,0.737550471063257,0.724964739069111,0,0.82875605815832,0.727900552486188,0.996078431372549,0.998659517426273,0.998766954377312,0.998614958448753,0.997445721583653,0.998527245949926,0.92676431424767,0.956521739130435,0.935664335664336,0.993646759847522,1,1,1,1,1,1,1,1,1
"Lmid5",1,1,1,1,1,1,1,0.923076923076923,0.921195652173913,0.972307692307692,0.973684210526316,0.935064935064935,0.971751412429379,0.812734082397004,0.824503311258278,0.74573055028463,0.846017699115044,0.860896445131376,0.818487394957983,0.82875605815832,0,0.848,0.99468085106383,0.998165137614679,0.998360655737705,0.996153846153846,0.994836488812392,1,0.942307692307692,0.963157894736842,0.910505836575875,0.98974358974359,1,1,1,1,1,1,1,1,1
"Lmid9",1,1,1,1,1,1,1,0.945205479452055,0.944839857651246,0.978805394990366,0.986027944111776,0.929328621908127,0.95910780669145,0.804034582132565,0.76734693877551,0.806406685236769,0.800565770862801,0.720164609053498,0.75828729281768,0.727900552486188,0.848,0,0.994729907773386,0.997297297297297,0.998759305210918,0.995804195804196,0.996138996138996,0.99702823179792,0.937665782493369,0.964473684210526,0.935211267605634,0.991025641025641,1,1,1,1,1,1,1,1,1
"Paunch12",0.967647058823529,1,0.996969696969697,1,0.993827160493827,0.997041420118343,0.975609756097561,0.918224299065421,0.986175115207373,0.989276139410188,0.979885057471264,0.988839285714286,0.9825,0.997037037037037,0.997336884154461,0.994285714285714,0.997113997113997,0.993548387096774,0.998657718120805,0.996078431372549,0.99468085106383,0.994729907773386,0,0.762605042016807,0.739884393063584,0.738839285714286,0.746,0.842572062084257,0.853097345132743,0.840950639853748,0.870786516853933,0.792380952380952,0.942528735632184,0.979710144927536,0.961538461538462,0.955497382198953,0.97911227154047,0.93972602739726,0.976623376623377,0.915942028985507,0.967930029154519
"Paunch17",0.96875,1,1,1,0.996710526315789,1,0.983870967741935,0.945107398568019,0.983009708737864,0.985754985754986,0.981707317073171,0.976303317535545,0.976127320954907,1,0.995884773662551,0.995588235294118,0.995529061102832,0.994701986754967,0.997233748271093,0.998659517426273,0.998165137614679,0.997297297297297,0.762605042016807,0,0.773255813953488,0.766439909297052,0.778225806451613,0.832167832167832,0.868231046931408,0.845574387947269,0.876447876447876,0.825670498084291,0.945288753799392,0.984662576687117,0.973262032085562,0.964383561643836,0.977900552486188,0.939130434782609,0.978082191780822,0.923780487804878,0.972222222222222
"Paunch18",0.971354166666667,1,0.997326203208556,1,0.994565217391304,0.99738219895288,0.983957219251337,0.932631578947368,0.989561586638831,0.985542168674699,0.989873417721519,0.989837398373984,0.977324263038549,0.998611111111111,0.994955863808323,0.995973154362416,0.997286295793758,0.997566909975669,1,0.998766954377312,0.998360655737705,0.998759305210918,0.739884393063584,0.773255813953488,0,0.736514522821577,0.755102040816326,0.82815734989648,0.846666666666667,0.831034482758621,0.868881118881119,0.787119856887299,0.943589743589744,0.982005141388175,0.965437788018433,0.957647058823529,0.981264637002342,0.938423645320197,0.983758700696056,0.928205128205128,0.971576227390181
"Paunch19",0.959183673469388,1,0.992957746478873,1,0.989208633093525,0.993150684931507,0.971731448763251,0.941772151898734,0.987179487179487,0.98780487804878,0.980263157894737,0.987593052109181,0.977401129943503,1,0.998585572842999,0.993893129770992,0.996913580246914,0.995901639344262,0.998571428571429,0.998614958448753,0.996153846153846,0.995804195804196,0.738839285714286,0.766439909297052,0.736514522821577,0,0.782426778242678,0.836585365853659,0.847036328871893,0.845098039215686,0.865853658536585,0.817269076305221,0.93046357615894,0.973244147157191,0.956521739130435,0.949554896142433,0.976331360946746,0.93125,0.970501474926254,0.895973154362416,0.956081081081081
